﻿Cuenta,Nombres,Apellidos,Cargo,Dependencia,Oficina,Telefono,Email,Compania,Ciudad,Estado
41043,Brandon Luis,Baez Sosa,Tecnico,Produccion,Sucursal,654321,produccion2@copito.com,Copito,Medellin,Colombia
96002,Carlos Eliecer,Eliecer Rincon,Tecnico,Soporte,Sucursal,654321,soporte1@copito.com,Copito,Medellin,Colombia
57297,Francy Carolina,Villamizar Rincon,Administrativo,RRHH,Principal,123456,rrhh1@copito.com,Copito,Bogota,Colombia
52579,German Eduardo,Camargo Quintero,Tecnico,Produccion,Sucursal,654321,produccion1@copito.com,Copito,Medellin,Colombia
23928,Jhony Garcia,Garcia Ortiz,Administrativo,Contabilidad,Principal,123456,contabilidad1@copito.com,Copito,Bogota,Colombia
36793,Naty Nidia,Pabon Colmenares,Administrativo,RRHH,Principal,123456,rrhh2@copito.com,Copito,Bogota,Colombia
74847,Pablo Rafael,Gomez Bolivar,Tecnico,Sistemas,Sucursal,654321,sistemas2@copito.com,Copito,Medellin,Colombia
97214,Rafael Sanchez,Sanchez Benitez,Administrativo,Gerencia,Principal,123456,gerencia1@copito.com,Copito,Bogota,Colombia
37800,Yuli Viviana,Delgado Arteaga,Administrativo,Contabilidad,Principal,123456,contabilidad2@copito.com,Copito,Bogota,Colombia
9209,Jorge Alfredo,German Mejia,Auxiliar,Sistemas,Principal,123456,sistemas3@copito.com,Copito,Bogota,Colombia
7003,Karen Lidia,Huerta Jaramillo,Administrativo,Gerencia,Principal,123456,gerencia2@copito.com,Copito,Bogota,Colombia
10131,Andry Maribel,Caceres Gelvez,Tecnico,Soporte,Sucursal,654321,soporte3@copito.com,Copito,Medellin,Colombia
